clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
55712229;4.181419902892;11.977510911753;10.57381912402;14.890336123854;12.910010385762;11.120797614076;4.540580477688;9.348060098113;11.654595899551;0.390463560672;0.33675422701;8.751655840884;6.151860487549;4.303336795254;3.591605747953;4.879970745614;6.458300244026;5.901436600536;5.364343263916;4.83054497844;4.968937126526;5.604881997494;
560;10.010365378241;10.082856503429;13.664577097947;15.285742261244;12.494833941504;8.382610112654;6.761444949358;12.672766703329;11.410762114828;0.473169344409;0.324562537774;11.321795733915;9.759941491227;7.067884705835;5.318212547887;7.150260984458;9.901628690458;5.805880117334;5.268786780713;6.609872596692;7.575322582151;7.328193746283;
615;4.356057613573;13.987492110148;14.718993464319;15.994178257399;15.522985943677;10.886848982787;4.590006244861;14.590486469667;14.583896367377;0.466249737005;0.439889327846;16.600467668063;7.80268111115;6.718609284474;4.968937126526;4.84372518302;6.86359153485;8.55395277219;8.023449537859;5.733388992146;4.626251807455;6.824050921111;
616;8.211267453119;14.560831009363;13.885345524656;14.376308145248;14.952942095608;11.49972849574;13.229630346819;15.849196007023;16.867366810801;0.486679054103;0.457023593799;12.191689236172;8.56054287448;7.410570024906;7.034934194386;8.039924793584;8.850507375232;11.209763994988;8.778016250044;10.857193522483;12.247705105635;12.99568171553;
6162;5.822355373058;15.776704881835;14.807959845231;16.165520916935;15.954637643661;14.033622826177;10.534278510281;10.415656669065;16.089734740602;0.41089287777;0.431322194869;14.887041072709;5.496145309712;5.77622465703;5.196295655525;4.718513239513;4.781119211266;10.20477339579;7.005278734081;5.973927725724;8.514412158451;10.847308369048;
6181193;5.815765270768;14.534470600204;14.666272646;16.251192246703;12.715602368213;15.074858987969;9.944464355342;15.80636034214;13.054992636139;0.345321359987;0.266569637623;14.817844998666;4.767939006687;3.782718714358;4.25391102808;5.21277091125;5.55545623032;5.077673814308;4.052912908241;5.618062202074;7.298538285979;7.074474808125;
6651126;5.038133200569;16.640008281802;13.770018734584;14.840910356681;12.926485641487;11.87536432626;7.654403809629;12.880354925458;10.280559572123;0.357513049223;0.272830234799;15.150645164302;6.698838977605;6.382514067693;5.067788660874;4.44172894334;5.608177048639;7.651108758484;7.483061150094;8.013564384424;8.577018130204;8.501231953871;
702;4.982117331106;12.728782572792;14.10940900251;14.445504219291;11.005470824004;12.590390424706;4.715218188368;10.725391476686;10.171822884341;0.333459175865;0.313029858767;9.163537233998;11.33168088735;10.606769635469;7.354554155442;5.285262036438;8.501231953871;11.53267900719;11.542564160624;7.753255343976;4.234140721211;8.257398169148;
705;2.41527248922;11.433827472842;12.979206459806;14.050098081902;14.096228797931;12.682651856764;5.802585066189;6.705429079895;9.348060098113;0.423084567007;0.430004174411;13.611856279629;7.6082730936;5.077673814308;2.04622676099;4.382418022732;7.456700740934;6.359448709679;6.11231987381;4.919511359353;4.263796181515;5.249016473844;
7052;3.568540389939;15.697623654357;15.298922465823;13.199974886515;15.898621774197;13.93477129183;3.647621617417;13.592085972759;15.440609665054;0.479759446699;0.468556272806;14.844205407825;4.850315285309;4.560350784557;4.181419902892;4.174829800603;4.533990375398;8.481461647002;8.300233834032;5.713618685276;3.295051144911;5.782814759319;
72512018;9.410666069867;13.130778812472;15.114399601708;16.086439689457;13.605266177339;13.588790921614;5.538980974596;16.198471428384;10.656195402643;0.497882227996;0.392440591359;14.343357633799;9.960939611067;8.771426147754;8.132186225641;8.92299850042;10.109216912588;6.283662533346;4.678972625774;3.561950287649;4.711923137223;6.270482328766;
726120109;10.96263515912;14.735468720043;13.901820780381;15.025433220796;13.282351165137;13.704117711686;4.029847550227;16.040308973428;13.832624706338;0.496234702424;0.509414907003;14.366422991813;3.868390044126;5.990402981449;7.931188105802;8.283758578307;6.161745640984;6.247416970752;5.759749401305;4.148469391443;3.16654415026;4.942576717367;
727;8.626443897378;12.778208339966;14.438914117001;11.69413651329;9.334879893534;11.028536182018;5.127099581482;9.707220672909;11.311910580481;0.32719857869;0.274148255257;12.135673366708;7.855401929469;6.850411330271;8.059695100453;9.572123575967;9.595188933982;6.827345972256;5.19959070667;4.023257447937;5.166640195221;6.797690511952;
728;9.236028359186;13.601971126194;15.529576045967;10.758341988135;10.583704277455;12.540964657532;7.588502786731;16.046899075718;10.926389596526;0.416823969831;0.393429106702;16.379699241354;12.24441005449;9.469976990475;5.469784900553;6.913017302024;11.117502562931;6.372628914258;7.008573785226;6.570331982953;5.720208787566;5.298442241017;
